WELL_DBK,LONGITUDE,LATITUDE,SURFE_LEVATION_MSL,INSTALLATION_LEVEL_DEPTH,COLLAR_HEIGHT,SW,GROUNDWATER_TYPE,WELLHIERARCHYCD,LY,WELLTYPECD,LATITUDE_WGS84,AQUIFER_TYPECD,DRILLING_DEPTH,LONGITUDE_WGS84,REMARK,sw(2024-02-25 00:00:00),ms(2024-02-25 00:00:00),sw(2024-02-25 01:00:00),ms(2024-02-25 01:00:00),sw(2024-02-25 02:00:00),ms(2024-02-25 02:00:00),sw(2024-02-25 03:00:00),ms(2024-02-25 03:00:00),sw(2024-02-25 04:00:00),ms(2024-02-25 04:00:00),sw(2024-02-25 05:00:00),ms(2024-02-25 05:00:00),sw(2024-02-25 06:00:00),ms(2024-02-25 06:00:00),sw(2024-02-25 07:00:00),ms(2024-02-25 07:00:00),sw(2024-02-25 08:00:00),ms(2024-02-25 08:00:00),sw(2024-02-25 09:00:00),ms(2024-02-25 09:00:00),sw(2024-02-25 10:00:00),ms(2024-02-25 10:00:00),sw(2024-02-25 11:00:00),ms(2024-02-25 11:00:00),sw(2024-02-25 12:00:00),ms(2024-02-25 12:00:00),sw(2024-02-25 13:00:00),ms(2024-02-25 13:00:00),sw(2024-02-25 14:00:00),ms(2024-02-25 14:00:00),sw(2024-02-25 15:00:00),ms(2024-02-25 15:00:00),sw(2024-02-25 16:00:00),ms(2024-02-25 16:00:00),sw(2024-02-25 17:00:00),ms(2024-02-25 17:00:00),sw(2024-02-25 18:00:00),ms(2024-02-25 18:00:00),sw(2024-02-25 19:00:00),ms(2024-02-25 19:00:00),sw(2024-02-25 20:00:00),ms(2024-02-25 20:00:00),sw(2024-02-25 21:00:00),ms(2024-02-25 21:00:00),sw(2024-02-25 22:00:00),ms(2024-02-25 22:00:00),sw(2024-02-25 23:00:00),ms(2024-02-25 23:00:00),sw(2024-02-26 00:00:00),ms(2024-02-26 00:00:00),sw(2024-02-26 01:00:00),ms(2024-02-26 01:00:00),sw(2024-02-26 02:00:00),ms(2024-02-26 02:00:00),sw(2024-02-26 03:00:00),ms(2024-02-26 03:00:00),sw(2024-02-26 04:00:00),ms(2024-02-26 04:00:00),sw(2024-02-26 05:00:00),ms(2024-02-26 05:00:00),sw(2024-02-26 06:00:00),ms(2024-02-26 06:00:00),sw(2024-02-26 07:00:00),ms(2024-02-26 07:00:00),sw(2024-02-26 08:00:00),ms(2024-02-26 08:00:00),sw(2024-02-26 09:00:00),ms(2024-02-26 09:00:00),sw(2024-02-26 10:00:00),ms(2024-02-26 10:00:00),sw(2024-02-26 11:00:00),ms(2024-02-26 11:00:00),sw(2024-02-26 12:00:00),ms(2024-02-26 12:00:00),sw(2024-02-26 13:00:00),ms(2024-02-26 13:00:00),sw(2024-02-26 14:00:00),ms(2024-02-26 14:00:00),sw(2024-02-26 15:00:00),ms(2024-02-26 15:00:00),sw(2024-02-26 16:00:00),ms(2024-02-26 16:00:00),sw(2024-02-26 17:00:00),ms(2024-02-26 17:00:00),sw(2024-02-26 18:00:00),ms(2024-02-26 18:00:00),sw(2024-02-26 19:00:00),ms(2024-02-26 19:00:00),sw(2024-02-26 20:00:00),ms(2024-02-26 20:00:00),sw(2024-02-26 21:00:00),ms(2024-02-26 21:00:00),sw(2024-02-26 22:00:00),ms(2024-02-26 22:00:00),sw(2024-02-26 23:00:00),ms(2024-02-26 23:00:00),sw(2024-02-27 00:00:00),ms(2024-02-27 00:00:00),sw(2024-02-27 01:00:00),ms(2024-02-27 01:00:00),sw(2024-02-27 02:00:00),ms(2024-02-27 02:00:00),sw(2024-02-27 03:00:00),ms(2024-02-27 03:00:00),sw(2024-02-27 04:00:00),ms(2024-02-27 04:00:00),sw(2024-02-27 05:00:00),ms(2024-02-27 05:00:00),sw(2024-02-27 06:00:00),ms(2024-02-27 06:00:00),sw(2024-02-27 07:00:00),ms(2024-02-27 07:00:00),sw(2024-02-27 08:00:00),ms(2024-02-27 08:00:00),sw(2024-02-27 09:00:00),ms(2024-02-27 09:00:00),sw(2024-02-27 10:00:00),ms(2024-02-27 10:00:00),sw(2024-02-27 11:00:00),ms(2024-02-27 11:00:00),sw(2024-02-27 12:00:00),ms(2024-02-27 12:00:00),sw(2024-02-27 13:00:00),ms(2024-02-27 13:00:00),sw(2024-02-27 14:00:00),ms(2024-02-27 14:00:00),sw(2024-02-27 15:00:00),ms(2024-02-27 15:00:00),sw(2024-02-27 16:00:00),ms(2024-02-27 16:00:00),sw(2024-02-27 17:00:00),ms(2024-02-27 17:00:00),sw(2024-02-27 18:00:00),ms(2024-02-27 18:00:00),sw(2024-02-27 19:00:00),ms(2024-02-27 19:00:00),sw(2024-02-27 20:00:00),ms(2024-02-27 20:00:00),sw(2024-02-27 21:00:00),ms(2024-02-27 21:00:00),sw(2024-02-27 22:00:00),ms(2024-02-27 22:00:00),sw(2024-02-27 23:00:00),ms(2024-02-27 23:00:00),sw(2024-02-28 00:00:00),ms(2024-02-28 00:00:00),sw(2024-02-28 01:00:00),ms(2024-02-28 01:00:00),sw(2024-02-28 02:00:00),ms(2024-02-28 02:00:00),sw(2024-02-28 03:00:00),ms(2024-02-28 03:00:00),sw(2024-02-28 04:00:00),ms(2024-02-28 04:00:00),sw(2024-02-28 05:00:00),ms(2024-02-28 05:00:00),sw(2024-02-28 06:00:00),ms(2024-02-28 06:00:00),sw(2024-02-28 07:00:00),ms(2024-02-28 07:00:00),sw(2024-02-28 08:00:00),ms(2024-02-28 08:00:00),sw(2024-02-28 09:00:00),ms(2024-02-28 09:00:00),sw(2024-02-28 10:00:00),ms(2024-02-28 10:00:00),sw(2024-02-28 11:00:00),ms(2024-02-28 11:00:00),sw(2024-02-28 12:00:00),ms(2024-02-28 12:00:00),sw(2024-02-28 13:00:00),ms(2024-02-28 13:00:00),sw(2024-02-28 14:00:00),ms(2024-02-28 14:00:00),sw(2024-02-28 15:00:00),ms(2024-02-28 15:00:00),sw(2024-02-28 16:00:00),ms(2024-02-28 16:00:00),sw(2024-02-28 17:00:00),ms(2024-02-28 17:00:00),sw(2024-02-28 18:00:00),ms(2024-02-28 18:00:00),sw(2024-02-28 19:00:00),ms(2024-02-28 19:00:00),sw(2024-02-28 20:00:00),ms(2024-02-28 20:00:00),sw(2024-02-28 21:00:00),ms(2024-02-28 21:00:00),sw(2024-02-28 22:00:00),ms(2024-02-28 22:00:00),sw(2024-02-28 23:00:00),ms(2024-02-28 23:00:00),sw(2024-02-29 00:00:00),ms(2024-02-29 00:00:00),sw(2024-02-29 01:00:00),ms(2024-02-29 01:00:00),sw(2024-02-29 02:00:00),ms(2024-02-29 02:00:00),sw(2024-02-29 03:00:00),ms(2024-02-29 03:00:00),sw(2024-02-29 04:00:00),ms(2024-02-29 04:00:00),sw(2024-02-29 05:00:00),ms(2024-02-29 05:00:00),sw(2024-02-29 06:00:00),ms(2024-02-29 06:00:00),sw(2024-02-29 07:00:00),ms(2024-02-29 07:00:00),sw(2024-02-29 08:00:00),ms(2024-02-29 08:00:00),sw(2024-02-29 09:00:00),ms(2024-02-29 09:00:00),sw(2024-02-29 10:00:00),ms(2024-02-29 10:00:00),sw(2024-02-29 11:00:00),ms(2024-02-29 11:00:00),sw(2024-02-29 12:00:00),ms(2024-02-29 12:00:00),sw(2024-02-29 13:00:00),ms(2024-02-29 13:00:00),sw(2024-02-29 14:00:00),ms(2024-02-29 14:00:00),sw(2024-02-29 15:00:00),ms(2024-02-29 15:00:00),sw(2024-02-29 16:00:00),ms(2024-02-29 16:00:00),sw(2024-02-29 17:00:00),ms(2024-02-29 17:00:00),sw(2024-02-29 18:00:00),ms(2024-02-29 18:00:00),sw(2024-02-29 19:00:00),ms(2024-02-29 19:00:00),sw(2024-02-29 20:00:00),ms(2024-02-29 20:00:00),sw(2024-02-29 21:00:00),ms(2024-02-29 21:00:00),sw(2024-02-29 22:00:00),ms(2024-02-29 22:00:00),sw(2024-02-29 23:00:00),ms(2024-02-29 23:00:00)
110101210001,116.39512344,39.90015278,0,26,45,,,国家级,北四河下游平原,专业监测井,39.9,孔隙水,85,116.4,北京北京市东城区文化宫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110101210002,116.40989,39.88262,0,26,45,,,国家级,北四河下游平原,专业监测井,39.88,孔隙水,85,116.41,北京北京市东城区天坛公园,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110102210003,116.35027781,39.88416667,0,28,50,,,国家级,北四河下游平原,专业监测井,39.88,孔隙水,46,116.35,北京北京市西城区宣武公园,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110102210004,116.37966669,39.91675092,0,26,47,,,国家级,北四河下游平原,专业监测井,39.92,岩溶水,97,116.38,北京北京市西城区北京图书馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110105210001,116.46120081,39.97895403,0,30,38,,,国家级,北四河下游平原,专业监测井,39.98,孔隙水,50,116.46,北京北京市朝阳区水源五厂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110105210002,116.50541781,39.93684381,0,17,35,,,国家级,北四河下游平原,专业监测井,39.94,孔隙水,52,116.51,北京北京市朝阳区青年路汽配城,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110105210003,116.50541958,39.93686111,0,40,35,,,国家级,北四河下游平原,专业监测井,39.94,孔隙水,108,116.51,北京北京市朝阳区青年路汽配城,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110105210004,116.592535,39.90674228,0,10,27,,,国家级,北四河下游平原,专业监测井,39.91,孔隙水,28,116.59,北京北京市朝阳区曙光药业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110105210005,116.47807733,39.87641347,0,31,36,,,国家级,北四河下游平原,专业监测井,39.88,孔隙水,111,116.48,北京北京市朝阳区北京工业大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110105210006,116.47809367,39.87639497,0,56,36,,,国家级,北四河下游平原,专业监测井,39.88,孔隙水,202,116.48,北京北京市朝阳区北京工业大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110105210007,116.49048556,39.97316375,0,3,34,,,国家级,北四河下游平原,专业监测井,39.97,孔隙水,22,116.49,北京北京市朝阳区电子管厂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110105210008,116.58673711,39.97585175,0,27,29,,,国家级,北四河下游平原,专业监测井,39.98,孔隙水,55,116.59,北京北京市朝阳区楼梓庄中学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110105210009,116.58673711,39.97585175,0,37,29,,,国家级,北四河下游平原,专业监测井,39.98,孔隙水,115,116.59,北京北京市朝阳区楼梓庄中学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110105210010,116.58673711,39.97585175,0,56,29,,,国家级,北四河下游平原,专业监测井,39.98,孔隙水,158,116.59,北京北京市朝阳区楼梓庄中学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110105210011,116.58159767,39.83601183,0,12,27,,,国家级,北四河下游平原,专业监测井,39.84,孔隙水,26,116.58,北京北京市朝阳区大鲁店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110105210012,116.58159767,39.83601183,0,14,26,,,国家级,北四河下游平原,专业监测井,39.84,孔隙水,59,116.58,北京北京市朝阳区大鲁店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110105210013,116.58159767,39.83601183,0,41,27,,,国家级,北四河下游平原,专业监测井,39.84,孔隙水,109,116.58,北京北京市朝阳区大鲁店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110105210016,116.49048417,39.97317819,0,23,34,,,国家级,北四河下游平原,专业监测井,39.97,孔隙水,48,116.49,北京北京市朝阳区电子管厂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110105210017,116.49048111,39.97320089,0,34,34,,,国家级,北四河下游平原,专业监测井,39.97,孔隙水,103,116.49,北京北京市朝阳区电子管厂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110105210018,116.49047833,39.97323108,0,47,34,,,国家级,北四河下游平原,专业监测井,39.97,孔隙水,179,116.49,北京北京市朝阳区电子管厂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110105210020,116.51482364,40.01794433,0,48,35,,,国家级,北四河下游平原,专业监测井,40.02,孔隙水,77,116.51,北京北京市朝阳区北皋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110105210021,116.39794028,40.01914386,0,34,40,,,国家级,北四河下游平原,专业监测井,40.02,孔隙水,100,116.4,北京北京市朝阳区仰山管理所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110105210022,116.51482364,40.01794433,0,54,35,,,国家级,北四河下游平原,专业监测井,40.02,孔隙水,192,116.51,北京北京市朝阳区北皋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110105210023,116.40496978,39.97532389,0,15,45,,,国家级,北四河下游平原,专业监测井,39.98,孔隙水,47,116.4,北京北京市朝阳区安外小关,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110105210024,116.39790528,40.01913786,0,16,40,,,国家级,北四河下游平原,专业监测井,40.02,孔隙水,50,116.4,北京北京市朝阳区仰山管理所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
